timestamp,run_date,n_sims,days_out,expected_dem_seats,median_dem_seats,dem_control_probability,dem_control_threshold,national_environment_margin,polling_weight,fundamentals_weight,national_error_sd,race_error_sd,total_error_sd,implied_correlation
2026-06-05T08:26:52,2026-06-05,20000.0,151.0,49.2966,49.0,0.31675,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-05T08:27:01,2026-06-05,12000.0,151.0,49.27425,49.0,0.3161666666666666,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-05T08:34:14,2026-06-05,12000.0,151.0,49.27425,49.0,0.3161666666666666,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-05T09:38:14,2026-06-05,20000.0,151.0,49.4123,49.0,0.34015,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-05T09:39:34,2026-06-05,20000.0,151.0,49.4123,49.0,0.34015,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-05T21:01:06,2026-06-05,20000.0,151.0,49.41865,49.0,0.341,51.0,7.126666666666666,0.4144444444444444,0.5855555555555556,4.6458962023094905,2.902016171574912,5.477777777777778,0.7193333333333333
2026-06-06T19:29:32,2026-06-06,20000.0,150.0,49.41225,49.0,0.3397,51.0,7.109999999999999,0.4166666666666667,0.5833333333333333,4.638620484583752,2.892688100097286,5.466666666666667,0.72
2026-06-08T12:07:05,2026-06-08,20000.0,148.0,49.41865,49.0,0.34025,51.0,7.126666666666666,0.4211111111111111,0.5788888888888889,4.624039884772522,2.874061664730752,5.444444444444445,0.7213333333333333
2026-06-08T12:16:25,2026-06-08,20000.0,148.0,49.4283,49.0,0.34215,51.0,7.126666666666666,0.4211111111111111,0.5788888888888889,4.624039884772522,2.874061664730752,5.444444444444445,0.7213333333333333
