race,state,chamber,pollster,pollster_grade,sponsor,poll_sponsor_type,partisan_sponsor_party,is_internal_poll,pollster_partisan_affiliation,partisan_pollster_review_notes,start_date,end_date,sample_size,sample_type,dem_candidate,rep_candidate,ind_candidate,other_candidate,dem_pct,rep_pct,ind_pct,other_pct,undecided_pct,notes,dem_pct_original,rep_pct_original,polling_margin_dem_original,partisan_pollster_adjustment_dem,partisan_pollster_weight_multiplier,partisan_pollster_adjusted,partisan_pollster_notes,polling_margin_dem_adjusted,poll_age_days,current_national_environment_dem,state_elasticity,race_environment_sensitivity,national_environment_at_poll_date_dem,reported_margin_dem,recency_half_life_days,recency_weight,pollster_grade_weight,sample_size_weight,population_weight,sponsor_classification,sponsor_weight,partisan_sponsor_adjustment_dem,pollster_house_effect_dem,environment_translation_dem,adjusted_margin_dem,preliminary_poll_weight,final_poll_weight,weighted_margin_component
ME Senate,ME,Senate,Pan Atlantic,B,,,,False,,,2026-05-08,2026-05-18,827,LV,Platner,Collins,,,48.0,41.0,0.0,0.0,11.0,,48.0,41.0,7.0,0.0,1.0,False,No partisan pollster adjustment,7.0,42,6.6866666666666665,0.75,0.75,,7.0,35.0,0.43527528164806206,1.0,1.1740244176904215,1.1,neutral,1.0,0.0,0.0,0.0,7.0,0.5621261899790904,0.5621261899790904,3.9348833298536325
FL Senate,FL,Senate,Change Research,B,,,,False,D,,2026-05-13,2026-05-16,1593,LV,Vindman,Moody,,,46.0,46.0,0.0,0.0,8.0,,47.0,45.0,2.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.0,44,6.6866666666666665,0.7,0.7,,0.0,35.0,0.4183716916964515,1.0,1.35,1.1,neutral,1.0,-0.0,0.0,0.0,0.0,0.6212819621692305,0.2985997653995288,0.0
NC Senate,NC,Senate,Change Research,B,,,,False,D,,2026-05-04,2026-05-08,947,LV,Cooper,Whatley,,,48.0,43.0,0.0,0.0,9.0,,49.0,42.0,7.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,5.0,52,6.6866666666666665,0.9,0.9,,5.0,35.0,0.35707170313208786,1.0,1.256317369669517,1.1,neutral,1.0,-0.0,0.0,0.0,5.0,0.49345492114855116,0.49345492114855116,2.4672746057427557
ME Senate,ME,Senate,MPRC,B,,,,False,,,2026-03-20,2026-05-31,1167,LV,Platner,Collins,,,48.0,39.0,0.0,0.0,13.0,,48.0,39.0,9.0,0.0,1.0,False,No partisan pollster adjustment,9.0,29,6.6866666666666665,0.75,0.75,,9.0,35.0,0.5630865404461788,1.0,1.35,1.1,neutral,1.0,0.0,0.0,0.0,9.0,0.8361835125625756,0.8361835125625756,7.5256516130631805
AK Senate,AK,Senate,Alaska Survey Research,B,,,,False,,,2026-05-14,2026-05-17,1401,LV,Peltola,Sullivan,Placeholder,,48.4,43.8,7.8,0.0,0.8,AK RCV/top-four poll,48.4,43.8,4.600000000000001,0.0,1.0,False,No partisan pollster adjustment,4.600000000000001,43,6.6866666666666665,0.65,0.65,,4.600000000000001,35.0,0.42673979886665026,1.0,1.35,1.1,neutral,1.0,0.0,0.0,0.0,4.600000000000001,0.6337086013169757,0.6337086013169757,2.915059566058089
TX Senate,TX,Senate,PPP,B-,,,,False,D,,2026-05-22,2026-05-23,643,LV,Talarico,Paxton,,,44.0,39.0,3.0,0.0,14.0,,45.0,38.0,7.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,5.0,37,6.6866666666666665,0.75,0.75,,5.0,35.0,0.48058287402904054,1.0,1.0352133435513025,1.1,neutral,1.0,-0.0,0.0,0.0,5.0,0.5472563842648073,0.5472563842648073,2.7362819213240366
ME Senate,ME,Senate,UNH,B,,,,False,,,2026-05-21,2026-05-25,1280,LV,Platner,Collins,,,51.0,42.0,0.0,0.0,7.0,,51.0,42.0,9.0,0.0,1.0,False,No partisan pollster adjustment,9.0,35,6.6866666666666665,0.75,0.75,,9.0,35.0,0.5,1.0,1.35,1.1,neutral,1.0,0.0,0.0,0.0,9.0,0.7425000000000002,0.7425000000000002,6.682500000000001
FL Senate,FL,Senate,GSG Poll,B-,,,,False,,,2026-05-18,2026-05-21,1000,LV,Vindman,Moody,,,43.0,46.0,0.0,0.0,12.0,,43.0,46.0,-3.0,0.0,1.0,False,No partisan pollster adjustment,-3.0,39,6.6866666666666665,0.7,0.7,,-3.0,35.0,0.4619197976200253,1.0,1.2909944487358056,1.1,neutral,1.0,0.0,0.0,0.0,-3.0,0.6559694839374814,0.6559694839374814,-1.9679084518124443
TX Senate,TX,Senate,Public Opinion Strategies (D) ,B,,,,False,D,,2026-05-27,2026-05-28,1670,LV,Talarico,Paxton,,,46.0,45.0,1.0,0.0,8.0,,47.0,44.0,3.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,1.0,32,6.6866666666666665,0.75,0.75,,1.0,35.0,0.5306065116666864,1.0,1.35,1.1,neutral,1.0,-0.0,0.0,0.0,1.0,0.7879506698250294,0.7879506698250294,0.7879506698250294
ME Senate,ME,Senate,,B-,,,,False,,,2026-06-02,2026-06-03,670,LV,Platner,Collins,,,49.0,45.0,0.0,0.0,0.0,,49.0,45.0,4.0,0.0,1.0,False,No partisan pollster adjustment,4.0,26,6.6866666666666665,0.75,0.75,,4.0,35.0,0.5975547699852188,1.0,1.0567244989431572,1.1,neutral,1.0,0.0,0.0,0.0,4.0,0.6945958413940965,0.6945958413940965,2.778383365576386
OH Senate,OH,Senate,Fox News,B,,,,False,,,2026-05-28,2026-06-01,1015,RV,Brown,Husted,,,53.0,45.0,0.0,0.0,2.0,,53.0,45.0,8.0,0.0,1.0,False,No partisan pollster adjustment,8.0,28,6.6866666666666665,0.75,0.75,,8.0,35.0,0.5743491774985174,1.0,1.3006408676751113,1.0,neutral,1.0,0.0,0.0,0.0,8.0,0.7470220125701582,0.733187288516499,5.865498308131992
ME Senate,ME,Senate,UMASS Lowell,B+,,,,False,,,2026-05-13,2026-05-26,650,LV,,,,,48.0,43.0,0.0,0.0,9.0,,48.0,43.0,5.0,0.0,1.0,False,No partisan pollster adjustment,5.0,34,6.6866666666666665,0.75,0.75,,5.0,35.0,0.5100008047105996,1.1,1.0408329997330663,1.1,neutral,1.0,0.0,0.0,0.0,5.0,0.6422990575941855,0.6422990575941855,3.2114952879709273
ME Senate,ME,Senate,Fabrizio Lee,B,,,,False,R,,2026-06-01,2026-06-03,800,LV,Platner,Collins,,,47.0,45.0,0.0,0.0,8.0,,46.0,46.0,0.0,2.0,0.5,True,R-sponsored poll: applied +2.0 point Dem-margin adjustment and 0.50 weight multiplier,2.0,26,6.6866666666666665,0.75,0.75,,2.0,35.0,0.5975547699852188,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,2.0,0.7589964960743243,0.7589964960743243,1.5179929921486486
TX Senate,TX,Senate,Quantus,B,,,,False,R,,2026-06-03,2026-06-04,800,LV,Talarico,Paxton,,,44.0,44.0,0.0,0.0,0.0,,43.0,45.0,-2.0,2.0,0.5,True,R-sponsored poll: applied +2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.0,25,6.6866666666666665,0.75,0.75,,0.0,35.0,0.6095068271022377,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,0.0,0.7741776475408615,0.7741776475408615,0.0
IA Senate,IA,Senate,PPP,B,,,,False,D,,2026-06-04,2026-06-04,800,LV,Turek,Hinson,,,45.0,47.0,0.0,0.0,8.0,,46.0,46.0,0.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,-2.0,25,6.6866666666666665,0.75,0.75,,-2.0,35.0,0.6095068271022377,1.0,1.1547005383792515,1.1,neutral,1.0,-0.0,0.0,0.0,-2.0,0.7741776475408615,0.7741776475408615,-1.548355295081723
ME-Senate,ME,Senate,Tulchin,C,,,,False,,,2026-06-05,2026-06-08,1642,LV,Platner,Collins,,,51.0,49.0,0.0,0.0,0.0,,51.0,49.0,2.0,0.0,1.0,False,No partisan pollster adjustment,2.0,21,6.6866666666666665,0.75,0.75,,2.0,35.0,0.6597539553864471,0.85,1.35,1.1,neutral,1.0,0.0,0.0,0.0,2.0,0.8327744301865431,0.8327744301865431,1.6655488603730861
TX Senate,TX,Senate,ReconMR,B,,,,False,,,2026-06-01,2026-06-04,807,LV,Talarico,Paxton,,,47.0,44.0,0.0,0.0,0.0,,47.0,44.0,3.0,0.0,1.0,False,No partisan pollster adjustment,3.0,25,6.6866666666666665,0.75,0.75,,3.0,35.0,0.6095068271022377,1.0,1.1597413504743201,1.1,neutral,1.0,0.0,0.0,0.0,3.0,0.7775572978655538,0.7775572978655538,2.3326718935966615
TX Senate,TX,Senate,ReconMR,B,,,,False,,,2026-06-01,2026-06-04,807,LV,Talarico,Paxton,,,46.0,46.0,0.0,0.0,8.0,,46.0,46.0,0.0,0.0,1.0,False,No partisan pollster adjustment,0.0,25,6.6866666666666665,0.75,0.75,,0.0,35.0,0.6095068271022377,1.0,1.1597413504743201,1.1,neutral,1.0,0.0,0.0,0.0,0.0,0.7775572978655538,0.7775572978655538,0.0
ME Senate,ME,Senate,TPSI,B,,,,False,,,2026-06-08,2026-06-08,497,LV,Platner,Collins,,,43.1,43.7,0.0,0.0,13.2,,43.1,43.7,-0.6000000000000014,0.0,1.0,False,No partisan pollster adjustment,-0.6000000000000014,21,6.6866666666666665,0.75,0.75,,-0.6000000000000014,35.0,0.6597539553864471,1.0,0.9101281960984031,1.1,neutral,1.0,0.0,0.0,0.0,-0.6000000000000014,0.6605067450131189,0.6605067450131189,-0.3963040470078723
AK-Senate,AK,Senate,Alaska Survey Research,B,,media,,False,,,2026-06-04,2026-06-07,800,LV,Peltola,Sullivan,,,49.4,44.2,0.0,6.4,0.0,,49.4,44.2,5.199999999999996,0.0,1.0,False,No partisan pollster adjustment,5.199999999999996,22,6.6866666666666665,0.65,0.65,,5.199999999999996,35.0,0.646816582731497,1.0,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,5.199999999999996,0.821567401943956,0.821567401943956,4.272150490108568
ME-Senate,ME,Senate,Quantus Insights,B,,party,R,False,R,,2026-06-09,2026-06-11,870,LV,,,,,47.25,43.75,0.0,0.0,9.0,,46.0,45.0,1.0,2.5,0.5,True,R-sponsored internal/campaign poll: applied +2.5 point Dem-margin adjustment and 0.50 weight multiplier,3.5,18,6.6866666666666665,0.75,0.75,,3.5,35.0,0.7001394896518027,1.0,1.2041594578792296,1.1,partisan,0.8,1.0,0.0,0.0,4.5,0.7419100377030807,0.7419100377030807,3.338595169663863
ME-Senate,ME,Senate,2Way/Wick,C+,,media,,False,,,2026-06-16,2026-06-16,800,LV,Platner,Collins,,,47.6,45.4,0.0,0.0,7.0,,47.6,45.4,2.200000000000003,0.0,1.0,False,No partisan pollster adjustment,2.200000000000003,13,6.6866666666666665,0.75,0.75,,2.200000000000003,35.0,0.7730166686334901,0.85,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,2.200000000000003,0.8345835838231567,0.8345835838231567,1.836083884410947
MA-Senate,MA,Senate,Suffolk,A,USA Today,media,,False,,,2026-06-08,2026-06-12,800,LV,Markey,Deaton,,,54.0,26.0,0.0,0.0,20.0,,54.0,26.0,28.0,0.0,1.0,False,No partisan pollster adjustment,28.0,17,6.6866666666666665,0.6,0.6,,28.0,35.0,0.7141434062641757,1.2,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,28.0,1.0885007439150718,1.0885007439150718,30.47802082962201
FL-Senate,FL,Senate,Change Research,B,Change Research,super PAC,D,False,D,,2026-06-11,2026-06-14,1014,LV,Vindman,Moody,,,45.0,47.0,0.0,0.0,8.0,,46.0,46.0,0.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,-2.0,15,6.6866666666666665,0.7,0.7,,-2.0,35.0,0.7429971445684742,1.0,1.3,1.1,partisan,0.8,-1.0,0.0,0.0,-3.0,0.8499887333863345,0.40852052986574233,-1.225561589597227
OH-Senate,OH,Senate,Tulchin,B,,super PAC,D,False,D,,2026-06-12,2026-06-12,600,LV,Brown,Husted,,,45.0,43.0,0.0,4.0,7.0,,46.0,42.0,4.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,2.0,17,6.6866666666666665,0.75,0.75,,2.0,35.0,0.7141434062641757,1.0,1.0,1.1,partisan,0.8,-1.0,0.0,0.0,1.0,0.6284461975124747,0.6284461975124747,0.6284461975124747
MT-Senate,MT,Senate,Public Opinion Strategies,B,,party,R,False,R,,2026-06-08,2026-06-11,500,LV,Bankhead,Alme,Bodnar,,26.25,42.75,20.0,4.0,7.0,,25.0,44.0,-19.0,2.5,0.5,True,R-sponsored internal/campaign poll: applied +2.5 point Dem-margin adjustment and 0.50 weight multiplier,-16.5,18,6.6866666666666665,0.65,0.65,,-16.5,35.0,0.7001394896518027,1.0,0.9128709291752769,1.1,partisan,0.8,1.0,0.0,0.0,-15.5,0.562440548094256,0.562440548094256,-8.717828495460969
FL-Senate,FL,Senate,McLaughlin,B,Associated Industries of Florida,party,R,False,R,,2026-06-03,2026-06-07,800,LV,Vindman,Moody,,,41.25,45.75,0.0,0.0,14.0,,40.0,47.0,-7.0,2.5,0.5,True,R-sponsored internal/campaign poll: applied +2.5 point Dem-margin adjustment and 0.50 weight multiplier,-4.5,22,6.6866666666666665,0.7,0.7,,-4.5,35.0,0.646816582731497,1.0,1.1547005383792515,1.1,partisan,0.8,1.0,0.0,0.0,-3.5,0.6572539215551649,0.6572539215551649,-2.300388725443077
IA-Senate,IA,Senate,GSG,B,,,,False,D,,2026-06-08,2026-06-11,800,LV,Turek,Hinson,,,46.0,46.0,0.0,0.0,8.0,,47.0,45.0,2.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.0,18,6.6866666666666665,0.75,0.75,,0.0,35.0,0.7001394896518027,1.0,1.1547005383792515,1.1,neutral,1.0,-0.0,0.0,0.0,0.0,0.8892965902056621,0.8055776404456215,0.0
TX-Senate,TX,Senate,YouGov,A-,Texas Political Project,,,False,,,2026-06-05,2026-06-12,1200,RV,Talarico,Paxton,,,42.0,43.0,0.0,6.0,10.0,,42.0,43.0,-1.0,0.0,1.0,False,No partisan pollster adjustment,-1.0,17,6.6866666666666665,0.75,0.75,,-1.0,35.0,0.7141434062641757,1.1,1.35,1.0,neutral,1.0,0.0,0.0,0.0,-1.0,1.0605029583023011,1.0605029583023011,-1.0605029583023011
OH-Senate,OH,Senate,Fabrizio Ward,B,AARP,independent,,False,,,2026-06-14,2026-06-16,800,LV,Brown,Husted,,,48.0,45.0,0.0,0.0,7.0,,48.0,45.0,3.0,0.0,1.0,False,No partisan pollster adjustment,3.0,13,6.6866666666666665,0.75,0.75,,3.0,35.0,0.7730166686334901,1.0,1.1547005383792515,1.1,unknown,0.85,0.0,0.0,0.0,3.0,0.8345835838231568,0.7331873383038808,2.1995620149116424
IA-Senate,IA,Senate,Cygnal,B,Iowans for Tax Relief,other,R,False,R,,2026-06-16,2026-06-19,600,LV,Turek,Hinson,,,45.2,45.0,0.0,0.0,9.8,,44.2,46.0,-1.7999999999999972,2.0,0.5,True,R-sponsored poll: applied +2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.2000000000000028,10,6.6866666666666665,0.75,0.75,,0.20000000000000284,35.0,0.820335356007638,1.0,1.0,1.1,partisan,0.8,1.0,0.0,0.0,1.2000000000000028,0.7218951132867215,0.7218951132867215,0.8662741359440679
ME-Senate,ME,Senate,Siena,A+,New York Times,media,,False,,,2026-06-19,2026-06-26,608,LV,Platner,Collins,,,49.0,47.0,0.0,0.5,3.5,,49.0,47.0,2.0,0.0,1.0,False,No partisan pollster adjustment,2.0,3,6.6866666666666665,0.75,0.75,,2.0,35.0,0.9423178739918807,1.2,1.0066445913694333,1.1,neutral,1.0,0.0,0.0,0.0,2.0,1.2521245323901642,1.2521245323901642,2.5042490647803284
